path,label,source_split,width,height,pixel_sha256,dhash,brightness,sharpness,group,split
data/raw/Forest Fire Dataset/Testing/fire_0002.jpg,1,test,250,250,1d2caa2ea395581a931a17ba6ee8b739572ec2c552702240cb731a5241b72a61,098d273d33458123,0.1902075674019608,500.4785335737111,0,test
data/raw/Forest Fire Dataset/Testing/fire_0015.jpg,1,test,250,250,bb5c157c1f84b37b537ed989cf3ed7cfe3b6c1a2074b159a9ebbb7321cf31276,3e7f3f7e3c796107,0.5470779718137255,924.7267047144067,1,test
data/raw/Forest Fire Dataset/Testing/fire_0027.jpg,1,test,250,250,497af4cb594006eb2f05c69d1bfaa9b81d57703ec4541eb2949a81cae2f5de51,c88b8f3f3f3b7b19,0.19947193287037038,1409.1474623033757,2,test
data/raw/Forest Fire Dataset/Testing/fire_0038.jpg,1,test,250,250,897cb67024db04990e9e8558ecb05988bd963fd35efdffd07002d0c13d20e2ca,7f27b1383818341c,0.24674819580610022,471.2873920446849,3,test
data/raw/Forest Fire Dataset/Testing/fire_0040.jpg,1,test,250,250,120ffc5533a38c7bf3335a34efaf8415c019542d6041b9b92e90892852520dab,04063d7a5a3b5f5e,0.3332929091775599,932.1600124449733,4,test
data/raw/Forest Fire Dataset/Testing/fire_0048.jpg,1,test,250,250,8bce99095d943788584b86f454160e0c6b362b74fa49cdf5349c17fe0d067c19,1323070f1d3f7f7f,0.37439789283769065,1674.818585925494,5,test
data/raw/Forest Fire Dataset/Testing/fire_0063.jpg,1,test,250,250,ba283bfa1cd2030f76e5bdb8db85a3655784e91ae6f435f9293670ed5b9ee17a,0d2f5f1d0d0c0600,0.49819835920479305,555.2876406265082,6,test
data/raw/Forest Fire Dataset/Testing/fire_0072.jpg,1,test,250,250,ea3d31068d0884ba68af5d626e458fc0091c2ce66a072998a1ea5cb88f992ec4,838303a181818141,0.4983209082244009,1633.4766520982623,7,test
data/raw/Forest Fire Dataset/Testing/fire_0084.jpg,1,test,250,250,e7bc7b7c2bef239436682b70abc15b4d59590f9e1fffe32414d8f3bc11fd3be4,1391d97defe37777,0.4065350966775599,3197.8563805195467,8,test
data/raw/Forest Fire Dataset/Testing/fire_0091.jpg,1,test,250,250,0dfd3fefce0bd5231580f9a7c2c393da84452879602d1c9371a97e89436e6140,4a537323a3b3e3e4,0.5463256569989107,246.72791874099966,9,test
data/raw/Forest Fire Dataset/Testing/fire_0097.jpg,1,test,250,250,067803d835ee9ee938c05fa65320e6a97a82492d261a2ca129c69859dd3d7118,0f5cd9a5050f0d0b,0.25095315904139437,1812.8408220101887,10,test
data/raw/Forest Fire Dataset/Testing/fire_0107.jpg,1,test,250,250,ca6682a9c6bf36922c02b172c0ca4cec07fcf083c519f42e2a205f688b9b6661,0f39727262e06060,0.4949337894880174,493.40649700000876,11,test
data/raw/Forest Fire Dataset/Testing/fire_0124.jpg,1,test,250,250,6d784e964fdea34d9bb5fdb80f5aa10b6d88c783e446b75cbee8f228189f5696,20b0a818cdc0e484,0.2889016544117647,324.83910683659445,12,test
data/raw/Forest Fire Dataset/Testing/fire_0139.jpg,1,test,250,250,597c1e3304bb2a33699118e583ea201346aa73b6646c89bb507ebf271e03fdb6,191d41c5c5c4c141,0.2230672998366013,1130.9946136207468,13,test
data/raw/Forest Fire Dataset/Testing/fire_0143.jpg,1,test,250,250,3130f9fa3b4c66c1f1ff842bd587a449de31425145dcecc190d4009742a81b28,2a4616322626444c,0.17713907611655774,2549.306558397465,14,test
data/raw/Forest Fire Dataset/Testing/fire_0145.jpg,1,test,250,250,1da2f8195d1cbf0c449045829305a07e5f80b091d7bdf34960ce19fb48d5de8a,e61f1b330303070f,0.28555581086601306,1203.8956279493477,15,test
